AAC|ARROW
FastCraftPlus|GOLDEN_PICKAXE
FeatherBoard|PAINTING
FeedBackBooks|BOOK
Fireworks|FIREWORK
Fly|FEATHER
FlyToggle|FEATHER
ForceSay|PAPER
Friends3_0|PLAYER_SKULL
Gravestones|COBBLESTONE
GriefPrevention|GOLDEN_SHOVEL
HeadDatabase|PLAYER_SKULL
Heads|PLAYER_SKULL
HeadsGuiPlus|PLAYER_SKULL
HeadsPlus|PLAYER_SKULL
HelperBot|PLAYER_SKULL
HelpGUI|ITEM_FRAME
HoloBlock|BEDROCK
HolographicDisplays|SIGN
HotBarSounds|NOTE_BLOCK
HubPvPSword|IRON_SWORD
Hydra|DIAMOND_CHESTPLATE
HydraChat|DIAMOND_HELMET
IllegalStack|CARROT
Industrial-MC|CRAFTING_TABLE
InsaneShops|SIGN
ItemFrameShops|ITEM_FRAME
ItemRestrict|CARROT
Jobs|GOLDEN_AXE
JoinEventsPro|PAPER
JoinMessagePlus|PAPER
JumpPads|HEAVY_WEIGHTED_PRESSURE_PLATE
KISS-back|POPPY
KISS-tpa|OAK_PRESSURE_PLATE
Kingdoms|STONE_BRICKS
KitBattle|TORCH
KitPreview|GLOWSTONE
LagMeter|REDSTONE_DUST
Lands|SAND
LetterBox|IRON_BLOCK
LiteBans|STRING
Liteboard|PAINTING
LockedItems|TNT_MINECART
LockettePro|CHEST
LoginSecurity|TRIPWIRE_HOOK
LongerMessages|PAPER
Lovey|RED_WOOL
MBedwars|PURPLE_BED
MCGMineStore|COBBLESTONE
MCGParkManager|MOSSY_COBBLESTONE
MCGspace|END_STONE
MCPlaytime|CLOCK
MakeYourOwnCommands|COMMAND_BLOCK
Marriage|GOLD_INGOT
MaxBans|IRON_INGOT
McDuels|IRON_SWORD
Multiverse-Core|PLAYER_HEAD|98daa1e3ed94ff3e33e1d4c6e43f024c47d78a57ba4d38e75e7c9264106
MessageAnnouncer|NOTE_BLOCK
MiniBoardGames|ITEM_FRAME
MiniaturePets|PLAYER_HEAD|47b4f84e19b52f31217712e7ba9f51d56da59d2445b4d7f39ef6c323b8166
MoreTp|PLAYER_HEAD|2bc1284d273688a9613bffb13171e37b82f0d33be0f9c2fde17b7bec9e25f4
MyCommand|PLAYER_HEAD|ba9053d2163d0f561145d33a513145d4ac1f8a458baa796be383e7525a05f45
MysqlPlayerDataBridge|PLAYER_HEAD|109cde1afc95a474d222554097ed6d391e7cc7ae1f202fdbfd2d6dbc98309370
MusicalBiomes|NOTE_BLOCK
NexusWarps|PLAYER_HEAD|7d43af9fdf34cd621947b7986cf3812ab51514a44d721472ce0a02f2eb7964e
NoCheatersHere|PLAYER_HEAD|9ddbd0bb9622ce124dabb6ba3baa9a9ea71430f870fec15b3ea81f1961a412b2
Notiz|PLAYER_HEAD|2e3f50ba62cbda3ecf5479b62fedebd61d76589771cc19286bf2745cd71e47c6
OneWayBlocks|PLAYER_HEAD|bd69e06e5dadfd84e5f3d1c21063f2553b2fa945ee1d4d7152fdc5425bc12a9
OpenInv|PLAYER_HEAD|9c96be7886eb7df75525a363e5f549626c21388f0fda988a6e8bf487a53
PetBlocks|PLAYER_HEAD|e8e6f7795df2eb8d7f4ff5d0aed529be81134d97bb51263e38cb694d6704da4
Paintball|SNOWBALL
PigmanAttention|PLAYER_HEAD|74e9c6e98582ffd8ff8feb3322cd1849c43fb16b158abb11ca7b42eda7743eb
PickUpSpawners|GOLDEN_PICKAXE
PingNachricht|PLAYER_HEAD|caaec48fafbfe5b977b3faa4916d6aa30beb691c51174d5eca1174bc25bbb81
PlaceholderAPI|BOOK
PlayerPoints|EXPERIENCE_BOTTLE
ProtectionStones|PLAYER_HEAD|dc1754851e367e8beba2a6d8f7c2fede87ae793ac546b0f299d673215b293
ProdigyDisaster|FURNACE
ProdigyGadget|COMPASS
ProdigyXray|PLAYER_HEAD|11ed9abf51fe4ea84cfcb27297f1bc54cd382edf85e7bd6e75ecca2b806611
ProtocolLib|FIRE_CHARGE
RandomTeleport|PLAYER_HEAD|e5f7741010e2d2fe51c30424491fc25ed5c48147dca6945cacaaca244641
PvPManager|WOODEN_SWORD
QuestWorld|WRITABLE_BOOK
RealisticLiquid|PLAYER_HEAD|49f1f07e2b1c32bb64a128e529f3af1e5286e518544edf8cbaa6c4065b476b
ReWorld|PLAYER_HEAD|438cf3f8e54afc3b3f91d20a49f324dca1486007fe545399055524c17941f4dc
Reflex|PLAYER_HEAD|3d1119643cecfbe004141a1ea4062f8315ca78e503958ac50505e8592c44a601
Realistic_World|GRASS_BLOCK
Secrets|PLAYER_HEAD|2e3f50ba62cbda3ecf5479b62fedebd61d76589771cc19286bf2745cd71e47c6
RegionGui|PLAYER_HEAD|43c52eae747cad5b4fd19b1a23b39a336b62ed422797a622d045f43e5d38
ReportPlus|WRITABLE_BOOK
RunAsConsole|COMMAND_BLOCK
ServerRestorer|BOOK
ServerSigns|SIGN
ServerTutorialPlus|EMERALD
ShopChest|CHEST
Sickle|STONE_HOE
SignSystem|SIGN
SilentLobby|COMPASS
SilkSpawners|SPAWNER
SkinsRestorer|PLAYER_HEAD|f4254838c33ea227ffca223dddaabfe0b0215f70da649e944477f44370ca6952
SimpleBackPack|LEATHER
SimpleTicketManager|PAPER
SkillsPro|STONE_SWORD
Spartan|PLAYER_HEAD|2b92131130b01e9b59754ca6950c8ab7c36799ba5db8e4d4d25865e5f95a0ae
StaffChat|PLAYER_HEAD|7456485aa2361434cb3be531bc121659f555a4aaf261d21a06d7afde5aa60b2
StaffCore|PLAYER_HEAD|32fa8f38c7b22096619c3a6d6498b405530e48d5d4f91e2aacea578844d5c67
StarterKit|PLAYER_HEAD|f7c7df52b5e50badb61fed7212d979e63fe94f1bde02b2968c6b156a770126c
SpawnJoin|PLAYER_HEAD|c95d37993e594082678472bf9d86823413c250d4332a2c7d8c52de4976b362
SuperLobby|PLAYER_HEAD|126b772329cf32f8643c4928626b6a325233ff61aa9c7725873a4bd66db3d692
SuperVanish|PLAYER_HEAD|27fa944783a4c32b1adb976879e0c4f2adcf7bdac3568e1df7bfb3fe08a455a
SurvivalGames|PLAYER_HEAD|75479510422b1c5dcc77f75fdc3346ed4d9dbbcc1e885b4a2992a273733646a9
TCChallenge|PLAYER_HEAD|a5869fd6356db073badae76d14355df354b976c9a11b0631ef7478e826da5190
Tablist|PLAYER_HEAD|2347a39499de49e24c892b092569432927decbb7399e11847f3104fdb165b6dc
TAB|PLAYER_HEAD|93b2dd4f95dac2ece6ca055ed07409e05850799684acee5a6b288d0efa1de069
TicTacToe|PLAYER_HEAD|30af92d82014e064e338b43645f2ca5190d52ef7a81a137796807de058648af
TradeMe|PLAYER_HEAD|a6d2a712cdd449ef0e776057b59030dd433ea8dcdca163d0ff40af6e9965ef32
TokenEnchant|SUNFLOWER
TopTenHeads|PLAYER_HEAD|6b416b3d973e3480664162c928c0f7d2f4f32b8d202225ab6227ff59ee1c5c31
TownyGUI|PLAYER_HEAD|50dfc8a3563bf996f5c1b74b0b015b2cceb2d04f94bbcdafb2299d8a5979fac1
UltimatePets|PLAYER_HEAD|ffa5972f4ffe5941c14c396e9df99868137487c55c902e66cf79eb4f99d0bd62
Ultimate_Name_Color|PLAYER_HEAD|e6315e380545b99ee9c8d1b217cde2d8884ae873e00744e0d05d7663f41882cf
Twitter_Bridge|OAK_TREE
UHC|PLAYER_HEAD|c7e6c40f68b775f2efcd7bd9916b327869dcf27e24c855d0a18e07ac04fe1
Vehicles|PLAYER_HEAD|dcf7af548dca6a2a942ed72640dd80e500f83298f89c31e3ab4a5f6ce20e2f4d
ViaVersion|PLAYER_HEAD|bc8def67a12622ead1decd3d89364257b531896d87e469813131ca235b5c7
VillagerFight|PLAYER_HEAD|6b416b3d973e3480664162c928c0f7d2f4f32b8d202225ab6227ff59ee1c5c31
VoidSpawn|PLAYER_HEAD|29706a11a97b7f74552a3e33483dedfa15a5ef982c33484476ed824c91855811
VoteSend|PLAYER_HEAD|d591f04bb6d524911adda775af244f86a95db187e31b8a3b103ad80fc5b22560
Voter|PLAYER_HEAD|686d721641d423e213aff0a61eb87217d30813cc31412752e3eb0864d6198209
Vouchers|PAPER
Wormholes|PLAYER_HEAD|ce9d49dd09ecee2a4996965514d6d301bf12870c688acb5999b6658e1dfdff85
WorldGuard|GOLDEN_HOE
citizens|PLAYER_HEAD|124dff5444b512e5caa106b4e7b3946c6746bcfce8f49c6b3e1cb5754901de3
YT|PLAYER_HEAD|d2f6c07a326def984e72f772ed645449f5ec96c6ca256499b5d2b84a8dce
YouTubeBridge|PLAYER_HEAD|3042c7bc2db85347e6a36928e9a146b4fc3e1def4febf279391be15de7f46e
dynmap|PAINTING
iConomy|GOLD_INGOT
iDisguise|PLAYER_HEAD|a39e43db83a966c5b6f6c03a17d7c6da4ba1b622e67c28ce6017607689f6e232
pStaffList|PLAYER_HEAD|b5ec1aebc677e17a9724c7d6ee4040afde7357b0d03c659d159ce75010ee073
uSkyBlock|LILY_PAD
